Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Sweeping	1.532674e+01	4.844818e-01	-7.877839e-05
Sweeping	1.541429e+01	4.798622e-01	-8.773577e-05
Sweeping	1.550201e+01	4.756317e-01	-9.349513e-05
Sweeping	1.559042e+01	4.712143e-01	-9.813869e-05
Sweeping	1.567847e+01	4.667435e-01	-1.012464e-04
Sweeping	1.576615e+01	4.624557e-01	-1.031982e-04
Sweeping	1.585421e+01	4.579773e-01	-1.053842e-04
Sweeping	1.594330e+01	4.534836e-01	-1.067182e-04
Sweeping	1.603051e+01	4.491768e-01	-1.075208e-04
Sweeping	1.611863e+01	4.448357e-01	-1.084706e-04
Sweeping	1.620617e+01	4.403801e-01	-1.094195e-04
Sweeping	1.629474e+01	4.359703e-01	-1.094983e-04
Sweeping	1.638232e+01	4.315376e-01	-1.099123e-04
Sweeping	1.647046e+01	4.272346e-01	-1.101447e-04
Sweeping	1.655872e+01	4.228821e-01	-1.104573e-04
Sweeping	1.664625e+01	4.182968e-01	-1.113063e-04
Sweeping	1.673404e+01	4.140396e-01	-1.112485e-04
Sweeping	1.682285e+01	4.095955e-01	-1.111447e-04
Sweeping	1.691008e+01	4.052734e-01	-1.113327e-04
Sweeping	1.699799e+01	4.008255e-01	-1.113456e-04
Sweeping	1.708648e+01	3.964653e-01	-1.112368e-04
Sweeping	1.717463e+01	3.919449e-01	-1.118671e-04
Sweeping	1.726236e+01	3.875961e-01	-1.115712e-04
Sweeping	1.735019e+01	3.832016e-01	-1.121093e-04
Sweeping	1.743791e+01	3.787193e-01	-1.120673e-04
Sweeping	1.752633e+01	3.744392e-01	-1.121618e-04
Sweeping	1.761462e+01	3.699989e-01	-1.122056e-04
Sweeping	1.770250e+01	3.656120e-01	-1.123588e-04
Sweeping	1.779053e+01	3.611450e-01	-1.128708e-04
Sweeping	1.787875e+01	3.567963e-01	-1.124411e-04
Sweeping	1.796614e+01	3.523254e-01	-1.124109e-04
Sweeping	1.805473e+01	3.481026e-01	-1.126311e-04
Sweeping	1.814286e+01	3.436089e-01	-1.124935e-04
Sweeping	1.823009e+01	3.392029e-01	-1.131699e-04
Sweeping	1.831840e+01	3.348236e-01	-1.125797e-04
Sweeping	1.840602e+01	3.305092e-01	-1.125095e-04
Sweeping	1.849407e+01	3.260536e-01	-1.127098e-04
Sweeping	1.858272e+01	3.216133e-01	-1.129684e-04
Sweeping	1.867065e+01	3.172035e-01	-1.130782e-04
Sweeping	1.875821e+01	3.128738e-01	-1.132200e-04
Sweeping	1.884674e+01	3.084641e-01	-1.133212e-04
Sweeping	1.893396e+01	3.040962e-01	-1.131206e-04
Sweeping	1.902191e+01	2.997742e-01	-1.129917e-04
Sweeping	1.910989e+01	2.953110e-01	-1.131159e-04
Sweeping	1.919841e+01	2.908821e-01	-1.133295e-04
Sweeping	1.928590e+01	2.864456e-01	-1.135267e-04
Sweeping	1.937468e+01	2.820015e-01	-1.132976e-04
Sweeping	1.946238e+01	2.775154e-01	-1.138580e-04
Sweeping	1.955071e+01	2.732162e-01	-1.138055e-04
Sweeping	1.963816e+01	2.689476e-01	-1.136111e-04
Sweeping	1.972647e+01	2.644424e-01	-1.136849e-04
Sweeping	1.981481e+01	2.599792e-01	-1.136069e-04
Sweeping	1.990275e+01	2.556267e-01	-1.136564e-04
Sweeping	1.999068e+01	2.512894e-01	-1.137948e-04
Sweeping	2.007801e+01	2.467880e-01	-1.137921e-04
Sweeping	2.016627e+01	2.423782e-01	-1.136820e-04
Sweeping	2.025478e+01	2.380486e-01	-1.139214e-04
Sweeping	2.034221e+01	2.336006e-01	-1.140856e-04
Sweeping	2.043040e+01	2.291718e-01	-1.138893e-04
Sweeping	2.051812e+01	2.248459e-01	-1.137460e-04
